A.F.P.,Valor Cuota,Valor del Patrimonio,Fecha,Fondo
CAPITAL,"65.689,31",5.398.633.752.183,11-Junio-2024,A
CUPRUM,"68.618,88",6.383.371.047.452,11-Junio-2024,A
HABITAT,"70.069,78",7.981.071.691.113,11-Junio-2024,A
MODELO,"67.096,85",1.904.426.308.063,11-Junio-2024,A
PLANVITAL,"64.171,24",1.122.777.735.434,11-Junio-2024,A
PROVIDA,"68.441,91",4.460.318.030.539,11-Junio-2024,A
UNO,"69.533,16",307.662.903.042,11-Junio-2024,A
CAPITAL,"58.123,47",5.920.151.399.335,11-Junio-2024,B
CUPRUM,"59.864,89",5.794.603.041.583,11-Junio-2024,B
HABITAT,"61.417,44",7.646.193.424.472,11-Junio-2024,B
MODELO,"56.697,30",4.559.245.577.131,11-Junio-2024,B
PLANVITAL,"57.965,75",2.881.364.517.632,11-Junio-2024,B
PROVIDA,"57.214,85",6.072.779.636.901,11-Junio-2024,B
UNO,"58.052,08",772.386.159.058,11-Junio-2024,B
CAPITAL,"57.274,22",10.637.825.784.581,11-Junio-2024,C
CUPRUM,"64.993,06",10.598.690.902.492,11-Junio-2024,C
HABITAT,"65.384,24",18.266.907.084.383,11-Junio-2024,C
MODELO,"61.148,06",2.988.884.150.943,11-Junio-2024,C
PLANVITAL,"113.380,36",2.787.371.882.005,11-Junio-2024,C
PROVIDA,"54.784,62",12.746.330.778.094,11-Junio-2024,C
UNO,"61.649,34",435.133.671.674,11-Junio-2024,C
CAPITAL,"45.843,34",6.118.225.879.577,11-Junio-2024,D
CUPRUM,"48.125,63",3.868.828.137.779,11-Junio-2024,D
HABITAT,"49.021,34",7.398.189.882.917,11-Junio-2024,D
MODELO,"45.741,87",727.989.354.307,11-Junio-2024,D
PLANVITAL,"44.253,43",1.248.321.444.927,11-Junio-2024,D
PROVIDA,"44.278,36",9.508.245.180.454,11-Junio-2024,D
UNO,"48.846,64",94.467.964.809,11-Junio-2024,D
CAPITAL,"56.434,11",4.583.626.466.921,11-Junio-2024,E
CUPRUM,"58.428,81",4.059.396.183.150,11-Junio-2024,E
HABITAT,"53.622,98",5.528.266.951.864,11-Junio-2024,E
MODELO,"57.082,06",1.567.750.744.608,11-Junio-2024,E
PLANVITAL,"90.216,31",1.133.880.155.854,11-Junio-2024,E
PROVIDA,"52.688,22",3.762.875.655.985,11-Junio-2024,E
UNO,"57.928,21",230.975.403.504,11-Junio-2024,E
