A.F.P.,Valor Cuota,Valor del Patrimonio,Fecha,Fondo
MODELO,"66914,78",,2023-06-10,A
MODELO,"56588,56",,2023-06-10,B
MODELO,"61091,02",,2023-06-10,C
MODELO,"45719,21",,2023-06-10,D
MODELO,"57054,59",,2023-06-10,E
PLANVITAL,"64019,24",,2023-06-10,A
PLANVITAL,"57874,46",,2023-06-10,B
PLANVITAL,"113301,28",,2023-06-10,C
PLANVITAL,"44237,43",,2023-06-10,D
PLANVITAL,"90168,47",,2023-06-10,E
PROVIDA,"68244,05",,2023-06-10,A
PROVIDA,"57097,72",,2023-06-10,B
PROVIDA,"54734,32",,2023-06-10,C
PROVIDA,"44261,24",,2023-06-10,D
PROVIDA,"52669,91",,2023-06-10,E
